"Id_duplicate","Id","Age","Job","Marital","Education","Default","Balance","HHInsurance","CarLoan","Communication","LastContactDay","LastContactMonth","NoOfContacts","DaysPassed","PrevAttempts","Outcome","CarInsurance","CallDuration","CallHour","AgeBinEW","AgeBinEF","BalanceBin","BalanceBinEF","WithinMonth","WithinMonthEF","PrevAttempsToDaysPassed","PAtDPEF"
"1",1,32,"management","single","tertiary","0",1218,"1","0","telephone",28,"jan",2,-1,0,"unknown","0",70,"13","(25.7,33.4]","[32,37)","BelowAverage","[ 1075, 2557)","LateMonth","[27,31]",0,"0.00000"
"2",2,32,"blue-collar","married","primary","0",1156,"1","0","unknown",26,"may",5,-1,0,"unknown","0",185,"14","(25.7,33.4]","[32,37)","BelowAverage","[ 1075, 2557)","LateMonth","[21,27)",0,"0.00000"
"3",3,29,"management","single","tertiary","0",637,"1","0","cellular",3,"jun",1,119,1,"failure","1",340,"16","(25.7,33.4]","[18,32)","BelowAverage","[  549, 1075)","EarlyMonth","[ 1, 7)",0.00840336134453781,"[0.00482,8.00000]"
"4",4,25,"student","single","primary","0",373,"1","0","cellular",11,"may",2,-1,0,"unknown","1",819,"12","(17.9,25.7]","[18,32)","BelowAverage","[  229,  549)","MidMonth","[ 7,12)",0,"0.00000"
"5",5,30,"management","married","tertiary","0",2694,"0","0","cellular",3,"jun",1,-1,0,"unknown","0",192,"14","(25.7,33.4]","[18,32)","AboveAverage","[ 2557,52587]","EarlyMonth","[ 1, 7)",0,"0.00000"
"6",6,32,"technician","single","tertiary","0",1625,"0","0","cellular",22,"may",1,109,1,"failure","1",796,"14","(25.7,33.4]","[32,37)","AboveAverage","[ 1075, 2557)","LateMonth","[21,27)",0.00917431192660551,"[0.00482,8.00000]"
"7",7,37,"admin.","single","tertiary","0",1000,"1","0","cellular",17,"mar",1,-1,0,"unknown","1",195,"13","(33.4,41.1]","[37,44)","BelowAverage","[  549, 1075)","MidMonth","[17,21)",0,"0.00000"
"8",8,35,"management","divorced","tertiary","0",538,"1","0","unknown",12,"may",4,-1,0,"unknown","0",66,"15","(33.4,41.1]","[32,37)","BelowAverage","[  229,  549)","MidMonth","[12,17)",0,"0.00000"
"9",9,30,"admin.","married","secondary","0",187,"1","0","cellular",18,"nov",1,-1,0,"unknown","0",106,"12","(25.7,33.4]","[18,32)","BelowAverage","[   14,  229)","MidMonth","[17,21)",0,"0.00000"
"10",10,30,"blue-collar","married","secondary","0",3,"1","1","cellular",12,"may",2,-1,0,"unknown","0",326,"9","(25.7,33.4]","[18,32)","BelowAverage","[-3058,   14)","MidMonth","[12,17)",0,"0.00000"
"11",11,27,"services","single","secondary","0",0,"0","0","cellular",1,"jun",1,-1,0,"unknown","0",181,"13","(25.7,33.4]","[18,32)","Negative","[-3058,   14)","EarlyMonth","[ 1, 7)",0,"0.00000"
"12",12,53,"blue-collar","married","primary","1",-462,"0","0","cellular",29,"jan",1,-1,0,"unknown","1",470,"16","(48.8,56.5]","[52,95]","Negative","[-3058,   14)","LateMonth","[27,31]",0,"0.00000"
"13",13,44,"technician","married","secondary","0",2776,"1","0","cellular",27,"jan",1,-1,0,"unknown","1",701,"16","(41.1,48.8]","[44,52)","AboveAverage","[ 2557,52587]","LateMonth","[27,31]",0,"0.00000"
"14",14,38,"self-employed","divorced","secondary","0",2674,"1","0","unknown",19,"jun",2,-1,0,"unknown","0",163,"10","(33.4,41.1]","[37,44)","AboveAverage","[ 2557,52587]","MidMonth","[17,21)",0,"0.00000"
