"","Id","Age","Job","Marital","Education","Default","Balance","HHInsurance","CarLoan","Communication","LastContactDay","LastContactMonth","NoOfContacts","DaysPassed","PrevAttempts","Outcome","CallDuration","CallHour","AgeBucket","BalanceBucket"
"1",1,32,"management","single","tertiary","0",1218,"1","0","telephone",28,"jan",2,-1,0,"unknown",70,"13","(25.7,33.4]","BelowAverage"
"2",2,32,"blue-collar","married","primary","0",1156,"1","0","unknown",26,"may",5,-1,0,"unknown",185,"14","(25.7,33.4]","BelowAverage"
"3",3,29,"management","single","tertiary","0",637,"1","0","cellular",3,"jun",1,119,1,"failure",340,"16","(25.7,33.4]","BelowAverage"
"4",4,25,"student","single","primary","0",373,"1","0","cellular",11,"may",2,-1,0,"unknown",819,"12","(17.9,25.7]","BelowAverage"
"5",5,30,"management","married","tertiary","0",2694,"0","0","cellular",3,"jun",1,-1,0,"unknown",192,"14","(25.7,33.4]","AboveAverage"
"6",6,32,"technician","single","tertiary","0",1625,"0","0","cellular",22,"may",1,109,1,"failure",796,"14","(25.7,33.4]","AboveAverage"
"7",7,37,"admin.","single","tertiary","0",1000,"1","0","cellular",17,"mar",1,-1,0,"unknown",195,"13","(33.4,41.1]","BelowAverage"
"8",8,35,"management","divorced","tertiary","0",538,"1","0","unknown",12,"may",4,-1,0,"unknown",66,"15","(33.4,41.1]","BelowAverage"
"9",9,30,"admin.","married","secondary","0",187,"1","0","cellular",18,"nov",1,-1,0,"unknown",106,"12","(25.7,33.4]","BelowAverage"
"10",10,30,"blue-collar","married","secondary","0",3,"1","1","cellular",12,"may",2,-1,0,"unknown",326,"9","(25.7,33.4]","BelowAverage"
"11",11,27,"services","single","secondary","0",0,"0","0","cellular",1,"jun",1,-1,0,"unknown",181,"13","(25.7,33.4]","Negative"
"12",12,53,"blue-collar","married","primary","1",-462,"0","0","cellular",29,"jan",1,-1,0,"unknown",470,"16","(48.8,56.5]","Negative"
"13",13,44,"technician","married","secondary","0",2776,"1","0","cellular",27,"jan",1,-1,0,"unknown",701,"16","(41.1,48.8]","AboveAverage"
"14",14,38,"self-employed","divorced","secondary","0",2674,"1","0","unknown",19,"jun",2,-1,0,"unknown",163,"10","(33.4,41.1]","AboveAverage"
"15",15,25,"services","single","unknown","0",2022,"0","0","cellular",29,"jul",8,97,12,"other",276,"14","(17.9,25.7]","AboveAverage"
"16",16,61,"management","single","tertiary","0",2,"0","0","cellular",12,"aug",1,114,3,"failure",131,"16","(56.5,64.2]","BelowAverage"
"17",17,34,"admin.","single","secondary","0",69,"1","0","telephone",6,"may",3,362,4,"other",92,"11","(33.4,41.1]","BelowAverage"
"18",18,46,"management","married","tertiary","0",7331,"0","0","cellular",11,"sep",4,95,2,"other",658,"11","(41.1,48.8]","AboveAverage"
"19",19,49,"blue-collar","married","secondary","0",2039,"1","0","cellular",6,"may",1,169,2,"failure",451,"12","(48.8,56.5]","AboveAverage"
"20",20,50,"blue-collar","married","primary","0",82,"0","0","telephone",5,"apr",1,-1,0,"unknown",456,"10","(48.8,56.5]","BelowAverage"
"21",21,57,"blue-collar","married","secondary","0",773,"1","1","unknown",18,"jun",8,-1,0,"unknown",97,"9","(56.5,64.2]","BelowAverage"
"22",22,80,"retired","married","secondary","0",8304,"0","0","telephone",8,"sep",3,91,13,"success",606,"17","(79.6,87.3]","AboveAverage"
"23",23,31,"management","single","tertiary","0",0,"0","0","cellular",21,"aug",2,-1,0,"unknown",218,"14","(25.7,33.4]","Negative"
"24",24,63,"retired","married","secondary","0",2896,"0","0","cellular",1,"jul",1,119,2,"success",304,"15","(56.5,64.2]","AboveAverage"
"25",25,60,"technician","married","secondary","0",824,"1","0","cellular",9,"feb",1,558,7,"other",127,"16","(56.5,64.2]","BelowAverage"
"26",26,29,"management","married","tertiary","0",900,"0","0","cellular",17,"jul",2,-1,0,"unknown",275,"17","(25.7,33.4]","BelowAverage"
"27",27,54,"management","married","primary","0",3859,"0","1","cellular",20,"nov",3,-1,0,"unknown",104,"10","(48.8,56.5]","AboveAverage"
"29",29,34,"services","married","secondary","0",-62,"1","0","unknown",16,"jun",3,-1,0,"unknown",109,"13","(33.4,41.1]","Negative"
"30",30,42,"blue-collar","married","primary","0",832,"0","0","unknown",20,"jun",14,-1,0,"unknown",13,"10","(41.1,48.8]","BelowAverage"
"31",31,54,"technician","married","secondary","0",0,"0","0","telephone",30,"apr",3,84,3,"success",766,"11","(48.8,56.5]","Negative"
"32",32,32,"admin.","single","secondary","0",6981,"1","0","cellular",2,"jun",1,194,3,"failure",154,"10","(25.7,33.4]","AboveAverage"
"33",33,57,"retired","single","tertiary","0",842,"0","0","cellular",13,"aug",3,-1,0,"unknown",284,"10","(56.5,64.2]","BelowAverage"
"34",34,36,"management","divorced","tertiary","0",1057,"0","0","cellular",5,"feb",2,-1,0,"unknown",383,"15","(33.4,41.1]","BelowAverage"
"35",35,34,"blue-collar","single","secondary","0",1698,"1","0","unknown",27,"may",7,-1,0,"unknown",39,"13","(33.4,41.1]","AboveAverage"
"36",36,39,"blue-collar","married","secondary","0",300,"1","0","cellular",14,"may",1,-1,0,"unknown",506,"14","(33.4,41.1]","BelowAverage"
"37",37,31,"blue-collar","married","secondary","0",664,"1","1","unknown",21,"may",3,-1,0,"unknown",987,"11","(25.7,33.4]","BelowAverage"
